<>,1,2,3,4,5,6,7,8,9,10,11,12
A,6013,42876,17,2149,42795,14,13,12,12,12,13,12
B,7604,43729,16,2278,42666,13,12,12,12,11,12,11
C,6702,43414,16,2288,43194,14,12,13,11,12,11,11
D,7600,43663,15,2508,42900,13,11,11,12,12,12,12
E,8738,43127,16,2484,42688,14,11,10,11,11,11,10
F,7950,43211,16,2410,42013,13,11,10,10,12,12,12
G,7877,41461,17,2590,42913,14,12,12,11,10,11,11
H,6550,42245,16,2335,42615,14,11,12,12,12,11,13
