<>,1,2,3,4,5,6,7,8,9,10,11,12
A,33,44429,12,56,43795,9,49,43507,11,44,42938,8
B,42,43991,13,47,43140,11,48,42875,10,45,43879,7
C,39,44021,12,46,42685,10,45,43295,11,36,42958,9
D,40,43656,11,32,42543,11,47,44311,215,42,44667,7
E,113,42971,12,26,43392,10,48,42700,11,41,42457,10
F,32,42945,12,23,43402,9,52,42203,11,37,43992,9
G,30,43141,11,23,43562,10,45,43168,11,38,42635,8
H,32,43559,12,22,43661,9,55,42607,12,30,42471,8
