<>,1,2,3,4,5,6,7,8,9,10,11,12
A,3475,43258,15,1247,42602,12,11,11,11,11,12,11
B,4248,43744,15,1234,42514,11,11,10,11,11,11,10
C,3523,44030,14,1364,42975,12,10,11,10,10,11,10
D,4382,43596,14,1536,42660,12,10,10,11,10,11,12
E,5059,43362,15,1478,42503,12,10,10,11,10,10,9
F,4578,43279,14,1488,41977,12,11,10,10,10,10,11
G,4554,42330,13,1508,42752,12,11,12,11,11,10,8
H,3919,42109,15,1377,42567,13,10,10,10,9,10,11
