<>,1,2,3,4,5,6,7,8,9,10,11,12
A,8455,40692,22,5166,41341,12,5737,40877,16,1722,41107,10
B,8891,41466,20,4621,42019,13,5554,41222,18,1548,39138,11
C,9228,41473,24,5055,42382,20,5281,41368,16,1690,39269,10
D,9096,41721,23,5214,42344,12,5226,41156,16,1618,41156,12
E,9104,42289,22,5337,40666,13,6426,40380,18,1627,41189,17
F,9473,41374,19,5238,40947,13,5370,40668,15,1707,40660,10
G,9110,41134,19,5109,41789,13,5172,40868,17,1651,40896,11
H,8585,41351,56,5336,41198,13,5347,41081,18,1602,40823,10
