<>,1,2,3,4,5,6,7,8,9,10,11,12
A,77,40294,14,68,37158,15,50,40755,14,36,41311,13
B,73,39019,16,40,37230,21,49,40602,14,42,43266,14
C,45,40130,15,43,37378,19,37,40426,15,50,41366,13
D,59,40978,17,37,38562,19,47,39305,16,90,42749,102
E,70,38556,16,81,39167,18,45,39027,23,46,41248,13
F,51,41321,18,54,37487,18,43,40279,38,60,40255,11
G,73,38180,18,46,39847,15,38,41185,127,41,41670,13
H,47,40952,15,44,38480,16,43,38224,14,43,41327,11
