<>,1,2,3,4,5,6,7,8,9,10,11,12
A,39,32,10,49,28,8,33,11,8,8,48,23
B,33,12846,21248,28064,32671,37764,39039,41587,43943,7,45,22
C,8,8,8,7,8,7,8,8,8,8,47,21
D,9,8,9,7,8,8,7,8,7,7,37,21
E,8,7,7,7,7,9,7,8,9,9,44,20
F,8,8,7,9,8,7,7,7,7,8,46,22
G,8,8,9,8,7,8,8,8,7,8,42,22
H,8,9,8,9,8,9,9,7,8,8,35,20
