<>,1,2,3,4,5,6,7,8,9,10,11,12
A,2017,39946,17,1000,41003,16,2198,40099,17,927,40099,12
B,1945,40411,17,1107,41209,14,1565,40159,17,905,40633,13
C,2059,40989,18,1021,40826,15,1778,41008,16,943,40653,12
D,2282,40795,17,1046,40968,15,1760,41118,191,982,41202,13
E,2188,40943,17,1021,41146,17,1627,40743,16,1007,40345,12
F,1940,40808,18,1014,41098,15,3795,39399,19,1026,40713,13
G,1898,40717,17,1015,41643,14,2319,40022,19,1075,40588,13
H,1787,39135,17,936,40539,15,6100,39342,20,1225,39803,12
