<>,1,2,3,4,5,6,7,8,9,10,11,12
A,5710,42561,16,2714,41410,14,3201,39778,16,1786,41376,15
B,6583,41015,16,2697,41875,13,2981,41037,15,1425,41211,12
C,6374,41414,15,2681,42168,17,5094,41928,16,1798,41630,14
D,7026,40872,15,2854,41597,13,4062,39918,15,1654,42354,14
E,5806,41886,14,2588,41553,14,5541,41555,14,1629,42367,14
F,6446,41451,13,2736,41065,13,5300,43496,15,2051,41795,16
G,6600,41482,17,2588,42085,14,4819,40910,15,1860,41806,13
H,5845,40945,14,2928,40305,13,5548,41093,14,1529,40606,12
