<>,1,2,3,4,5,6,7,8,9,10,11,12
A,1140,43219,19,432,44481,14,592,43841,15,418,44324,11
B,1258,44779,19,583,43642,13,972,43203,16,528,44536,9
C,1082,44350,22,753,44664,14,768,44275,15,486,44592,10
D,1296,44062,19,676,44526,13,715,44498,19,510,44823,10
E,1335,44499,22,483,44491,17,873,44024,17,555,44716,10
F,1515,43222,18,495,44959,13,742,42503,15,516,45579,9
G,1346,42482,18,489,44135,14,871,44383,15,690,44285,14
H,1285,43124,21,422,43954,14,642,43830,16,364,44056,11
