<>,1,2,3,4,5,6,7,8,9,10,11,12
A,35,40313,16,51,38594,14,51,38817,14,65,37850,12
B,41,39419,15,37,38738,16,54,37770,14,63,36992,12
C,43,39136,14,45,40189,12,46,37913,14,64,35695,13
D,47,39939,14,51,40911,22,50,38943,14,57,38491,12
E,72,40405,15,45,38689,13,58,37112,15,59,36067,14
F,74,39287,15,43,40590,12,64,39551,14,54,37706,11
G,94,38803,15,45,38403,12,61,39905,13,75,38588,12
H,76,39358,14,52,40159,47,61,37244,14,83,38159,13
