<>,1,2,3,4,5,6,7,8,9,10,11,12
A,48,43088,11,39,43505,11,61,40083,12,48,42004,10
B,82,43726,10,38,42787,11,59,42388,12,40,40895,10
C,46,42532,10,40,44412,12,72,42650,11,41,41933,11
D,52,43856,11,45,43851,11,75,43336,11,42,44187,9
E,52,44498,11,42,43779,11,77,43696,20,47,42361,12
F,55,42860,10,45,43779,11,93,42800,12,43,44214,11
G,66,41440,11,39,44172,11,89,43842,11,56,42446,10
H,62,41900,9,39,41392,11,85,40712,12,66,39737,10
