<>,1,2,3,4,5,6,7,8,9,10,11,12
A,2190,41239,18,3189,41104,22,1888,41094,18,1353,43500,17
B,2128,41711,23,3610,41280,28,1530,42078,18,1447,42405,17
C,2251,42662,20,2926,41352,26,1896,42245,20,1458,44094,16
D,2498,43487,20,2636,41582,25,1833,41965,20,1445,44146,101
E,2623,42560,21,2760,41372,25,1940,41731,27,1457,44792,18
F,3581,43089,23,2662,41793,23,2453,41419,45,2098,43992,15
G,5598,42558,25,2691,41654,21,2030,42464,118,1609,44004,17
H,2396,43437,19,2744,40080,20,1716,40816,20,1532,43423,16
