<>,1,2,3,4,5,6,7,8,9,10,11,12
A,949,39725,14,484,40576,12,927,39796,14,433,40246,10
B,909,39954,14,516,40716,12,714,39649,14,394,39911,9
C,951,40346,15,452,40319,13,768,40181,13,417,40203,11
D,1055,40244,14,469,40407,11,760,40482,181,404,40675,10
E,1080,40425,15,441,40661,14,705,39814,13,429,39886,9
F,913,40133,14,452,40501,12,1683,38823,15,440,39902,10
G,923,40303,15,454,41188,13,994,39413,15,481,39870,10
H,876,39300,15,437,40302,12,2589,38528,15,559,39306,9
