<>,1,2,3,4,5,6,7,8,9,10,11,12
A,2917,42516,22,1357,44185,18,1674,43497,19,1018,43515,13
B,3101,44309,24,1445,43719,16,2456,43247,23,1139,44620,13
C,2992,44515,30,1807,45215,17,2121,44064,19,1070,44175,13
D,3431,44115,23,2071,44918,16,2052,44183,22,1126,44236,13
E,3416,44194,26,1430,45013,19,2466,44287,20,1237,44302,12
F,3937,42713,23,1324,44921,17,1914,42770,19,1117,44763,13
G,3575,42007,23,1339,44256,17,2120,43736,19,1771,43243,16
H,3077,42351,22,1200,42625,17,1926,42747,25,994,41576,13
