<>,1,2,3,4,5,6,7,8,9,10,11,12
A,2296,39441,14,4396,39483,14,5609,39435,15,4155,38657,14
B,3155,39638,13,4420,38777,15,6672,39230,14,4935,38818,14
C,2219,38648,13,4671,38249,13,7116,39112,15,5333,39319,14
D,2424,39219,13,4345,37904,14,6801,39848,15,4553,39168,14
E,2180,39116,14,4448,39096,14,6471,39980,28,4887,38756,15
F,2405,39348,13,4579,36900,15,6426,39877,15,4753,38709,14
G,2305,38525,14,4377,36889,14,5632,39425,14,4326,39307,13
H,2780,38887,13,4591,37843,15,5566,39370,15,3950,37274,13
