<>,1,2,3,4,5,6,7,8,9,10,11,12
A,7067,40878,14,6625,41532,14,3912,43839,14,3041,42093,14
B,4343,42136,13,5668,42087,14,4057,42730,14,3018,42120,14
C,4711,43014,13,5815,41682,16,3871,41210,44,3155,41991,15
D,4191,43333,15,6216,41090,15,3731,43371,14,3032,44203,13
E,4092,42686,18,5998,41171,15,3920,42829,15,2863,42062,14
F,4144,42127,16,6965,40880,15,4490,41222,13,3003,42504,14
G,6296,42206,15,7730,40782,15,4520,41121,15,3152,40904,14
H,4460,41385,16,7668,41129,15,5302,41825,17,3229,41242,13
