<>,1,2,3,4,5,6,7,8,9,10,11,12
A,9596,42661,15,3314,42474,14,9440,43043,17,4771,42707,14
B,10006,41896,15,3226,41252,13,9734,42669,15,4514,41616,13
C,9199,42741,14,3134,42995,12,9664,43827,16,4906,42065,13
D,9354,41941,16,3353,42127,12,9814,43642,15,4984,40066,15
E,9407,41715,14,3752,43689,22,19703,43660,605,4578,41976,14
F,9209,41784,14,3395,42516,13,17213,42365,19,4575,40516,14
G,11013,43357,14,4350,42321,16,16898,42396,19,4695,40577,13
H,16434,42187,14,5172,43735,14,10641,41927,68,4635,40968,14
