<>,1,2,3,4,5,6,7,8,9,10,11,12
A,6680,37633,14,2826,39616,11,4338,39197,14,1728,38213,10
B,6720,38892,15,2960,39998,13,4197,37854,13,1688,39293,43
C,6971,38909,15,2528,40274,12,3914,39383,14,1537,39579,11
D,7454,38992,16,2842,39897,13,3740,39321,13,1724,39668,11
E,7071,37756,28,2895,40029,11,3910,37896,14,1653,39639,9
F,8375,38269,13,2776,39974,11,7900,38865,14,1782,38187,11
G,7467,39035,15,2859,39787,12,8651,39383,14,1798,39511,12
H,7503,38165,12,2829,39643,71,10758,37955,15,1837,36827,11
