<>,1,2,3,4,5,6,7,8,9,10,11,12
A,9979,42173,15,4845,41258,15,5893,39936,17,3179,41554,16
B,12158,41100,16,5083,41890,14,5959,41472,17,3167,41541,14
C,12064,41720,17,4916,42427,20,9330,41756,20,3257,41854,14
D,13037,41400,17,5280,41897,15,7423,40259,16,3076,42176,15
E,10822,42301,15,4834,42067,15,10302,41861,16,3032,42500,15
F,11317,42108,15,4876,41567,15,9723,43535,16,3241,41904,14
G,12030,41935,19,4968,42582,16,9065,41194,16,3272,41903,14
H,10175,41178,14,5339,40775,14,10765,41245,18,2822,40920,14
