<>,1,2,3,4,5,6,7,8,9,10,11,12
A,13766,40950,15,11563,41894,17,6821,43453,16,5468,41975,15
B,8603,42388,14,10788,41890,16,7013,42933,16,5154,42473,14
C,8501,42924,15,10918,41774,17,7308,41586,80,5662,42175,15
D,7821,43423,15,11258,41545,16,6653,42814,15,5109,44286,14
E,8055,43072,19,11295,41747,16,7470,42743,18,5054,42160,15
F,7735,42214,17,12517,41307,16,8153,41444,16,5343,42329,15
G,11101,42360,16,14198,41139,16,8406,41571,17,5397,41415,15
H,7788,41722,16,13755,41586,16,9441,42231,19,5524,41504,14
