<>,1,2,3,4,5,6,7,8,9,10,11,12
A,1071,39864,20,665,40387,16,1074,40067,17,781,39579,14
B,1472,39885,18,610,41037,17,1229,40130,16,960,39448,16
C,1419,40013,17,1379,40062,15,1252,40212,16,783,38683,16
D,1324,39951,17,744,41283,26,1343,40551,16,785,39990,15
E,1124,40028,18,840,41052,15,1424,40064,17,774,39618,15
F,1213,39670,18,832,40341,13,1198,40585,17,726,39804,15
G,1212,38806,16,785,40115,17,2466,41293,15,704,39956,16
H,1057,39477,19,677,41154,53,1264,40297,17,731,40352,17
