<>,1,2,3,4,5,6,7,8,9,10,11,12
A,1771,42146,16,1656,44578,14,10,9,10,10,9,9
B,1856,42539,16,1594,44977,14,9,10,10,9,10,8
C,3274,41918,14,1983,42864,15,8,8,9,9,9,9
D,1951,41007,16,1845,44319,14,9,9,10,10,10,9
E,5880,41376,16,1852,42744,13,8,9,8,9,9,8
F,4042,41401,30,2049,43315,14,8,10,8,9,9,9
G,6222,40927,16,2109,42623,13,8,10,9,9,9,8
H,6325,40918,15,5021,42399,13,10,9,10,10,10,10
