image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
3_C_2_stitch.rsml, root_0, 9c5822f0-5fb0-4648-992c-24004cb30ab7, 1.7441406, 1.73645, 1.8782476, 0.16467847, 318.81987060617865, 0.33579665, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
10_A_1_stitch.rsml, root_6, 942a6935-95c0-4c32-89dd-0b93ada4028c, 0.34451556, 0.3260692, 0.0864663, 0.0017541775, 195.5146431048569, 0.070384055, 0, Root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
10_A_1_stitch.rsml, root_5, f26f4883-c88a-4e50-8d02-c49657a9395b, 0.4872374, 0.48683453, 0.013621639, 3.0473619E-5, 273.8788104713822, 0.00901294, 0, Root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
10_A_1_stitch.rsml, root_4, 968773b4-875d-49fb-b429-63e6ae8ef641, 0.48353758, 0.4834245, 0.012861528, 2.7223568E-5, 93.03925227002625, 0.008466667, 0, Root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
10_A_1_stitch.rsml, root_3, 0e7adbf9-f84d-4218-a7ad-c508f351e42d, 1.253318, 1.2502112, 0.21242927, 0.0041961367, 88.60904814038341, 0.046557434, 0, Root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
10_A_1_stitch.rsml, root_2, b3c03d11-3367-4e59-bc6e-eb7b1d8a9b1a, 3.040834, 3.0395443, 0.107785515, 3.3724363E-4, 87.28669619631226, 0.012163704, 0, Root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
10_A_1_stitch.rsml, root_1, 2bba967a-87e7-473c-8a6f-c14fd8a737b1, 2.6899037, 2.6890445, 0.15634781, 0.0010097668, 89.62525734547624, 0.02046122, 0, Root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
10_A_1_stitch.rsml, root_0, 29d1c38a-0742-46b0-8dee-a4e219a21089, 0.8298297, 0.7192354, 0.07594286, 8.3469163E-4, 169.44887904328237, 0.026072448, 0, Root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_21, f60a1e03-79b7-4eec-8354-bbc5724c0ecf, 0.5948937, 0.5785506, 0.017931843, 5.0127E-5, 152.68713036720752, 0.011656862, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_20, 29a4aa01-f8fd-4862-aef9-11df0940bdc0, 0.89794356, 0.88871354, 0.03077761, 1.0549515E-4, 132.68679285465777, 0.013305702, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_19, 854e5a74-47da-4375-a46d-fd1fd145798f, 0.71631217, 0.704013, 0.07320448, 6.1584124E-4, 210.85456496178853, 0.034826573, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_18, f921046b-dabb-476d-9558-4eafedb5eaa4, 2.2470317, 2.198065, 0.62362367, 0.021707105, 96.4453788166524, 0.090923384, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_17, 2d21937d-7e20-493d-b718-1241d8f2cfd8, 1.8651817, 1.8320165, 0.3968428, 0.008563851, 64.8840718696423, 0.074809834, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_16, d1b19c8a-6e8f-4c79-9c1d-e0300dd0b877, 1.8498043, 1.7247119, 0.88463485, 0.040412124, 74.34316670024711, 0.13321978, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_15, 73f7ce5e-b898-407e-a80a-d1e2fb5d6744, 1.0196955, 1.0192583, 0.71041465, 0.042233933, 41.20762409295413, 0.18950394, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_14, 90764d1a-7b79-45e3-a98c-943d57778f9d, 1.3292297, 1.2807565, 0.5483211, 0.018835379, 120.49198186522024, 0.11612274, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_13, 832ae17d-8c4f-4d68-a7b2-f2a3a6a63f5b, 0.55345494, 0.54986817, 0.054135736, 6.5860944E-4, 209.66355755545672, 0.030678794, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_12, 4b23b9fe-4856-4a7a-8181-a8d656999142, 0.756112, 0.7365761, 0.0676236, 6.029879E-4, 149.20350166406925, 0.02820446, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_11, 9bed6be9-db1b-42cd-ab16-53b6dcf6a5f7, 1.0816394, 1.0426964, 0.19553326, 0.003170248, 220.77029208935454, 0.048213113, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
